,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,gorizia,20,CA,1554354000,65,55.74,-97.86,260.15,1.0
44,gorizia,75,ZA,1554358599,82,-33.93,18.42,290.37,7.2
45,gorizia,0,BR,1554358540,100,-22.97,-42.02,296.449,5.37
46,gorizia,92,AU,1554358556,50,-28.95,153.24,298.15,6.7
47,gorizia,0,MV,1554358790,100,2.67,72.89,301.799,3.52
48,gorizia,0,CL,1554357600,82,-29.95,-71.34,287.15,2.1
49,gorizia,40,RU,1554355800,73,64.42,-173.23,270.15,7.0
50,gorizia,0,BR,1554357600,94,-28.24,-48.67,297.15,4.1
51,gorizia,75,CA,1554358564,74,45.62,-61.36,277.04,9.8
52,gorizia,88,RU,1554358839,91,60.47,166.1,274.149,5.02
53,gorizia,20,JP,1554357849,47,33.93,134.5,290.37,5.7
54,gorizia,75,CA,1554358605,82,45.36,-73.48,273.15,9.8
55,gorizia,0,IN,1554357600,31,15.34,74.49,306.15,1.0
56,gorizia,48,AU,1554358533,48,-24.87,152.35,301.15,8.7
57,gorizia,0,AR,1554358539,57,-46.43,-67.52,286.149,4.87
58,gorizia,88,UY,1554358659,96,-33.69,-53.46,291.449,2.22
59,gorizia,88,RU,1554358841,82,53.24,39.97,273.099,6.07
60,gorizia,80,BR,1554358841,95,-16.26,-56.62,296.449,1.62
61,gorizia,20,CL,1554358350,75,-53.16,-70.91,279.15,18.5
62,gorizia,80,CK,1554355800,78,-21.21,-159.78,298.15,1.0
63,gorizia,8,PE,1554358842,100,-15.27,-72.34,269.449,1.07
64,gorizia,0,AU,1554358484,35,-33.21,138.6,299.899,3.87
65,gorizia,68,RU,1554358673,44,56.36,114.84,271.649,2.37
66,gorizia,92,KI,1554358507,100,3.07,172.79,298.199,1.42
67,gorizia,100,CN,1554358552,100,29.96,122.3,284.899,4.92
68,gorizia,80,RU,1554358843,67,57.82,114.02,271.099,3.07
69,gorizia,0,RU,1554358844,63,59.72,65.88,276.949,2.27
70,gorizia,0,IN,1554358637,100,11.67,92.75,302.449,2.22
71,gorizia,68,CA,1554358575,68,51.64,-111.93,274.82,0.89
72,gorizia,0,BR,1554358722,95,-30.17,-50.22,293.649,1.22
73,gorizia,20,JP,1554356251,23,35.73,140.83,290.15,4.1
74,gorizia,0,RU,1554358845,76,67.46,153.71,274.499,1.57
75,gorizia,76,RU,1554358845,94,65.37,58.04,274.349,2.72
76,gorizia,20,CA,1554354000,70,65.28,-126.83,255.15,1.5
77,gorizia,0,NG,1554358846,71,7.32,9.0,300.749,5.77
78,gorizia,5,MX,1554358814,100,20.71,-105.21,295.93,1.0
79,gorizia,0,RU,1554358846,88,58.89,41.46,273.799,1.87
80,gorizia,40,CA,1554358827,58,50.09,-96.94,270.15,4.1
81,gorizia,56,RU,1554358677,92,68.05,39.51,271.699,7.67
82,gorizia,75,CL,1554357600,70,-42.48,-73.76,281.15,4.6
83,gorizia,56,ZA,1554358591,93,-34.42,19.24,290.37,1.87
84,gorizia,88,PH,1554358848,73,12.01,124.81,302.649,4.27
85,gorizia,12,CV,1554358301,100,14.9,-24.5,293.699,7.52
86,gorizia,0,RU,1554358802,81,69.38,178.42,259.949,7.22
87,gorizia,0,SA,1554354000,68,18.39,42.45,291.15,5.1
88,gorizia,0,CN,1554358849,31,40.29,97.04,291.449,3.57
89,gorizia,5,CA,1554358328,64,62.45,-114.38,254.15,2.6
90,gorizia,56,CL,1554357600,72,-27.37,-70.33,289.15,0.5
91,gorizia,24,AU,1554354000,31,-37.83,140.78,299.15,4.6
92,gorizia,0,CL,1554357600,100,-39.81,-73.25,281.15,2.62
93,gorizia,0,SO,1554358777,91,7.98,49.82,300.649,3.02
94,gorizia,8,TH,1554358371,52,19.9,99.84,309.26,2.6
95,gorizia,0,RU,1554358836,41,59.7,30.79,277.59,2.0
96,gorizia,0,BR,1554357600,94,-25.65,-53.85,296.15,0.5
97,gorizia,75,JP,1554354000,73,24.8,125.28,297.15,8.7
98,gorizia,92,CA,1554357898,97,48.94,-125.55,282.59,0.77
99,gorizia,0,AU,1554358455,42,-42.88,147.33,290.37,5.7
100,gorizia,64,GL,1554357000,78,69.22,-51.1,265.15,7.7
101,gorizia,1,US,1554358307,41,64.84,-147.72,267.15,5.7
102,gorizia,0,ZA,1554358549,77,-34.53,20.04,291.15,5.1
103,gorizia,92,CM,1554358854,94,2.91,11.16,295.949,1.27
104,gorizia,5,MX,1554358508,61,21.05,-89.07,300.15,5.1
105,gorizia,40,MA,1554358549,87,33.6,-7.62,288.71,3.1
106,gorizia,0,CO,1554358595,83,10.99,-74.96,299.26,6.7
107,gorizia,56,RU,1554358856,88,54.34,89.93,274.199,2.52
108,gorizia,68,PF,1554358507,100,-9.8,-139.03,300.549,6.27
109,gorizia,75,IS,1554358016,100,63.84,-22.43,278.15,0.5
110,gorizia,90,US,1554358606,82,37.46,-122.43,287.15,1.77
111,gorizia,1,US,1554358384,52,39.62,-77.74,281.15,1.87
112,gorizia,0,BR,1554358857,90,-15.46,-39.65,293.549,1.27
113,gorizia,32,RU,1554358857,62,63.75,121.63,276.949,1.72
114,gorizia,92,NZ,1554358353,92,-45.87,170.5,283.15,4.02
115,gorizia,80,GL,1554358789,93,61.99,-49.67,272.349,8.42
116,gorizia,92,NL,1554358625,100,53.22,6.57,279.15,3.27
117,gorizia,20,GY,1554354000,94,6.8,-58.16,297.15,2.1
118,gorizia,75,AU,1554358626,72,-34.67,150.86,294.82,4.6
119,gorizia,0,AU,1554358590,42,-42.78,147.06,290.15,5.7
120,gorizia,76,BR,1554358859,95,-6.24,-41.42,294.199,1.22
121,gorizia,40,MU,1554358143,74,-20.41,57.7,302.15,1.5
122,gorizia,36,MX,1554358741,100,27.97,-114.04,285.949,3.47
123,gorizia,48,AU,1554358627,38,-23.58,149.07,303.799,6.12
124,gorizia,80,RU,1554358860,60,50.6,95.0,284.249,1.77
125,gorizia,44,ID,1554358860,65,-2.59,115.38,304.949,1.37
126,gorizia,0,UG,1554358860,57,2.53,34.66,297.699,1.62
127,gorizia,92,ES,1554358516,100,43.01,-7.56,277.04,0.89
128,gorizia,20,SL,1554358861,88,7.53,-12.5,298.749,2.02
129,gorizia,75,DZ,1554357600,93,36.36,6.61,284.15,5.1
130,gorizia,32,RU,1554358899,94,54.97,48.29,272.449,6.12
131,gorizia,80,IS,1554358671,87,63.44,-20.27,277.399,8.37
132,gorizia,80,BR,1554358884,96,-3.0,-47.35,296.349,1.32
133,gorizia,0,ZA,1554358637,29,-30.97,22.13,281.949,1.37
134,gorizia,20,CA,1554354000,66,49.72,-86.95,261.15,2.42
135,gorizia,80,NC,1554358900,98,-21.57,165.5,295.399,0.37
136,gorizia,92,BR,1554358901,98,-3.7,-45.5,297.349,0.87
137,gorizia,0,GL,1554358724,100,60.14,-45.24,271.949,4.67
138,gorizia,92,CA,1554358535,85,48.65,-53.11,277.59,1.79
139,gorizia,75,CL,1554357600,70,-41.87,-73.83,281.15,4.6
140,gorizia,0,ZA,1554356580,83,-33.02,27.91,294.15,1.5
141,gorizia,64,LY,1554358903,58,31.86,10.98,288.299,4.92
142,gorizia,1,US,1554358629,87,34.88,-76.9,286.15,2.1
143,gorizia,75,US,1554358571,67,31.31,-92.44,290.37,5.7
144,gorizia,0,ML,1554358904,48,22.68,-3.98,296.399,6.02
145,gorizia,1,US,1554358711,41,64.86,-147.8,267.15,5.7
146,gorizia,90,CA,1554358614,100,47.66,-52.73,278.15,15.4
147,gorizia,75,AU,1554358855,88,-16.99,145.42,298.15,8.2
148,gorizia,1,US,1554358839,51,44.31,-94.46,277.59,2.1
149,gorizia,48,UA,1554358905,87,49.42,38.16,275.749,3.57
